name,views,description,img_alt,video_link,warn_info
asics,46.1K,What’s better than unboxing a brand new pair of GEL-KAYANO™ 14 shoes? Shop new colorways of the hottest sneaker on the ASICS website today. ,What’s better than unboxing a brand new pair of GEL-KAYANO™ 14 shoes? Shop new colorways of the hottest sneaker on the ASICS website today.  🎥: @mmmmvrco on Instagram #sneakerhead #shoetok #gelkayano14 #shoehaul #asicssportstyle  created by ASICS with WIRA's Sunshine,/@asics/video/7199731486973562114,
asics,41K,When in Australia...the 🔨 tries his hand at backyard cricket 🏏  ,When in Australia...the 🔨 tries his hand at backyard cricket 🏏  @matberrettini  #matteoberrettini #cricket #tennisplayer #tennistiktok #asicstennis  created by ASICS with ASICS's original sound,/@asics/video/7199675873644104962,
asics,161.3K,We went behind the scenes for the new ,We went behind the scenes for the new #EVORIDESPEED shoot. 🏃‍♀️ 👟 🏃‍♂️ And oh what a scene it is! 🏔️ Go full speed ahead ⏩ Shop now on asics.com. ​ ​ #running #athletesoftiktok #mammothlakes #soundmindsoundbody #nothingfeelsbetter #nicomontanez #claytonyoung #makenamorley #lindsayflanagan created by ASICS with ASICS's original sound,/@asics/video/7198604464473869569,
asics,8153,BTS at our House of 🎾 in Melbourne ,BTS at our House of 🎾 in Melbourne #asicstennis #asicsathletes #tennisplayer #tennistok #tennistiktok  created by ASICS with ASICS's original sound,/@asics/video/7198290224890334466,
asics,106.5K,Introducing the EVORIDE™ SPEED running shoe. Available now for runners around the 🌎 ,Introducing the EVORIDE™ SPEED running shoe. Available now for runners around the 🌎 #shoetok #marathon #running #runtok #runningshoes  created by ASICS with Mpax's LIMITS THE SKY,/@asics/video/7197817166106774786,
asics,7752,What’s faster than one ASICS athlete in the METASPEED™+ Series shoes? TWO ASICS athletes in the METASPEED™+ Series shoes!  ,What’s faster than one ASICS athlete in the METASPEED™+ Series shoes? TWO ASICS athletes in the METASPEED™+ Series shoes!  #runtok #marathon created by ASICS with ASICS's original sound - ASICS,/@asics/video/7197108159645797633,
asics,21.4K,ASICS X Brain Dead GEL-NIMBUS ™ 9. Available 2/4. ,ASICS X Brain Dead GEL-NIMBUS ™ 9. Available 2/4. #shoetok #sneaker #sneakerhead #asicssportstyle  created by ASICS with Dubskie's This Is a Work of Art (Sketchy),/@asics/video/7195648677808065793,
asics,15.5K,Nothing feels better than the new GEL-NIMBUS® 25 running shoe. Available today around the 🌎 ,"Nothing feels better than the new GEL-NIMBUS® 25 running shoe. Available today around the 🌎 #asicsrunning #running #runtok #marathon  created by ASICS with Ninja_Muzik_Tokyo's Trap, hip hop, dark beat ♪(963369)",/@asics/video/7195225155046477058,
asics,1M,Recharge your body and mind with the new ,Recharge your body and mind with the new #NOVABLAST 3 TR running shoe and the entire NATURE BATHING™ Collection. ##runtok##asmr##nature##runningshoes##asicsrunning#marathon  created by ASICS with Aldy Fajr's Nature (Relaxing Piano),/@asics/video/7194527627045113089,
asics,650.7K,And he's on to the next! Good thing he's sporting the COURT FF 3 NOVAK tennis shoe 😉 ,And he's on to the next! Good thing he's sporting the COURT FF 3 NOVAK tennis shoe 😉 #novakdjokovic #tennis #tennisplayer #tennisshoes #asics #asicstennis  created by ASICS with ASICS's original sound,/@asics/video/7192636398120275202,
asics,14.2K,A selection of ASICS SPORTSTYLE silhouettes were featured in AIREI’s A/W 2023 ,A selection of ASICS SPORTSTYLE silhouettes were featured in AIREI’s A/W 2023 #ParisFashionWeek show. #pfw2023 #asics #sneakerhead #sneakertok #asicssportsyle created by ASICS with ASICS's original sound,/@asics/video/7192248991831084289,
asics,108.3K,Well… sure hope he’s good at it! ,Well… sure hope he’s good at it! #novakdjokovic #tennis #tennisplayer #asicstennis  #tennistiktok #asics created by ASICS with ASICS's original sound,/@asics/video/7191893526869789953,
asics,14.7K,ASICS styles spotted at ,ASICS styles spotted at #ParisFashionWeek #fitcheck #sneakertok #asicssportstyle  created by ASICS with Chris Alan Lee's Swear By It,/@asics/video/7190722262763343105,
asics,18K,From concept to reality. Introducing the ASICS x Andersson Bell GEL-SONOMA™ 15-50 sneaker collaboration. Available today globally. ,From concept to reality. Introducing the ASICS x Andersson Bell GEL-SONOMA™ 15-50 sneaker collaboration. Available today globally. #asicssportstyle #asics #shoetok #anderssonbell #parisfashionweek  created by ASICS with WILLIS's I Think I Like When It Rains,/@asics/video/7190720263007358210,
asics,6907,Good luck in your next round ,Good luck in your next round @alexdeminaur1702 ! #tennis #tennistiktok #surprise #asicstennis #tennisplayer  created by ASICS with ASICS's original sound,/@asics/video/7190138852428795137,
asics,9314,Running tips courtesy of ,Running tips courtesy of #ASICSFRONTRUNNER @damianalvarezt #runtok #marathon #RUNNING #runningtips #asics  created by ASICS with Animal Island's Better Days,/@asics/video/7189861537912294658,
asics,5355,Counting down to Sunday's Tata Mumbai Marathon with ace cricketer Prasidh Krishna and squash champion Joshna Chinappa! ,Counting down to Sunday's Tata Mumbai Marathon with ace cricketer Prasidh Krishna and squash champion Joshna Chinappa! #asics #marathon #runtok #marathontraining #mumbaimarathon  created by ASICS with ASICS's original sound,/@asics/video/7188185345291259138,
